Adversário,Local,Gols Pró,Gols Contra,Torneio,Resultado,Data do Jogo,Avaliação,Técnico,Pontos
Mogi Mirim,Casa,2,0,Paulista - A1,Vitória,1/3/2016,,Edgardo Bauza,3
Ponte Preta,Fora,0,1,Paulista - A1,Derrota,27/2/2016,,Edgardo Bauza,0
Grêmio Novorizontino,Casa,2,0,Paulista - A1,Vitória,24/2/2016,,Edgardo Bauza,3
Rio Claro,Casa,1,0,Paulista - A1,Vitória,21/2/2016,,Edgardo Bauza,3
The Strongest,Casa,0,1,CONMEBOL Libertadores,Derrota,17/2/2016,,Edgardo Bauza,0
Corinthians,Fora,0,2,Paulista - A1,Derrota,14/2/2016,,Edgardo Bauza,0
Univ. César Vallejo,Casa,1,0,CONMEBOL Libertadores,Vitória,10/2/2016,,Edgardo Bauza,3
EC Água Santa,Casa,4,0,Paulista - A1,Vitória,6/2/2016,,Edgardo Bauza,3
Univ. César Vallejo,Fora,1,1,CONMEBOL Libertadores,Empate,3/2/2016,,Edgardo Bauza,1
Red Bull Brasil,Fora,1,1,Paulista - A1,Empate,30/1/2016,,Edgardo Bauza,1
Cerro Porteño,Fora,1,0,Friendlies Clubs,Vitória,20/1/2016,,Edgardo Bauza,3
