Adversário,Local,Gols Pró,Gols Contra,Torneio,Resultado,Data do Jogo,Avaliação,Técnico,Pontos
Atletico Paranaense,Casa,2,2,Copa Do Brasil,Empate,19/4/2018,,Diego Aguirre,1
Parana,Casa,1,0,Serie A,Vitória,16/4/2018,,Diego Aguirre,3
Rosario Central,Fora,0,0,CONMEBOL Sudamericana,Empate,12/4/2018,,Diego Aguirre,1
Atletico Paranaense,Fora,1,2,Copa Do Brasil,Derrota,5/4/2018,,Diego Aguirre,0
Corinthians,Fora,0,1,Paulista - A1,Derrota,28/3/2018,,Diego Aguirre,0
Corinthians,Casa,1,0,Paulista - A1,Vitória,25/3/2018,,Diego Aguirre,3
São Caetano,Casa,2,0,Paulista - A1,Vitória,20/3/2018,,Diego Aguirre,3
São Caetano,Fora,0,1,Paulista - A1,Derrota,17/3/2018,,Diego Aguirre,0
CRB,Fora,3,0,Copa Do Brasil,Vitória,14/3/2018,,André Jardine,3
Red Bull Brasil,Casa,3,1,Paulista - A1,Vitória,11/3/2018,,André Jardine,3
Palmeiras,Fora,0,2,Paulista - A1,Derrota,8/3/2018,,Dorival Júnior,0
Linense,Fora,2,1,Paulista - A1,Vitória,4/3/2018,,Dorival Júnior,3
CRB,Casa,2,0,Copa Do Brasil,Vitória,28/2/2018,,Dorival Júnior,3
Ferroviária,Casa,0,0,Paulista - A1,Empate,25/2/2018,,Dorival Júnior,1
Ituano,Fora,1,2,Paulista - A1,Derrota,21/2/2018,,Dorival Júnior,0
Santos,Casa,0,1,Paulista - A1,Derrota,18/2/2018,,Dorival Júnior,0
CSA,Fora,2,0,Copa Do Brasil,Vitória,15/2/2018,,Dorival Júnior,3
Bragantino,Casa,1,0,Paulista - A1,Vitória,7/2/2018,,Dorival Júnior,3
Botafogo-SP,Casa,2,0,Paulista - A1,Vitória,3/2/2018,,Dorival Júnior,3
Madureira,Fora,1,0,Copa Do Brasil,Vitória,31/1/2018,,Dorival Júnior,3
Corinthians,Fora,1,2,Paulista - A1,Derrota,27/1/2018,,Dorival Júnior,0
Mirassol,Fora,2,0,Paulista - A1,Vitória,24/1/2018,,Dorival Júnior,3
Grêmio Novorizontino,Casa,0,0,Paulista - A1,Empate,20/1/2018,,Dorival Júnior,1
São Bento,Fora,0,2,Paulista - A1,Derrota,17/1/2018,,Dorival Júnior,0
Bahia,Casa,1,1,Serie A,Empate,3/12/2017,,Dorival Júnior,1
Coritiba,Fora,2,1,Serie A,Vitória,26/11/2017,,Dorival Júnior,3
Botafogo,Casa,0,0,Serie A,Empate,19/11/2017,,Dorival Júnior,1
Grêmio,Fora,0,1,Serie A,Derrota,15/11/2017,,Dorival Júnior,0
Vasco,Fora,1,1,Serie A,Empate,12/11/2017,,Dorival Júnior,1
Chapecoense,Casa,2,2,Serie A,Empate,9/11/2017,,Dorival Júnior,1
Atlético Goianiense,Fora,1,0,Serie A,Vitória,4/11/2017,,Dorival Júnior,3
Santos,Casa,2,1,Serie A,Vitória,28/10/2017,,Dorival Júnior,3
Flamengo,Casa,2,0,Serie A,Vitória,22/10/2017,,Dorival Júnior,3
Fluminense,Fora,1,3,Serie A,Derrota,18/10/2017,,Dorival Júnior,0
Atlético Paranaense,Casa,2,1,Serie A,Vitória,14/10/2017,,Dorival Júnior,3
